language;allowance_id;theme;group_by;financing_category;financing_id;financing_label;financing_year;financing_type;budget_or_final;donor_type;allowance_label
fr;636;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: Lehner Versand AG, Acteur/trice: Meier Thomas, Schenkon
fr;637;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne physique;Donateur/trice: Kern Georges, Acteur/trice: Bellaïche Jäger Judith, Kilchberg
fr;638;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: Grünliberale Partei Bezirk Horgen, Acteur/trice: Bellaïche Jäger Judith, Kilchberg
fr;646;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne physique;Donateur/trice: Chassot Isabelle, Acteur/trice: Le Centre Fribourg, Fribourg
fr;647;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne physique;Donateur/trice: De Planta Renaud, Acteur/trice: Parti libéral-radical genevois, Genève
fr;648;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: Union Bancaire Privée, Acteur/trice: Parti libéral-radical genevois, Genève
fr;649;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: Comité de coordination des associations économiques, Acteur/trice: Parti libéral-radical genevois, Genève
fr;650;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne physique;Donateur/trice: Burkard Kroeber Carmita, Acteur/trice: Les Vert-e-s neuchâtelois-es, Neuchâtel
fr;653;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: HEV Kanton Zürich, Acteur/trice: Bigler Hans-Ulrich, Affoltern am Albis
fr;654;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: Schweizerischer Gewerbeverband sgv, Acteur/trice: Bigler Hans-Ulrich, Affoltern am Albis
fr;655;allowances;alphabetical;Financement des campagnes;2;22.10.2023 Élections au Conseil des États 2023;;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: Supporter-Club der FDP Graubünden, Acteur/trice: Freisinnig-Demokratische Partei Graubünden, Chur
fr;656;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: Supporter-Club der FDP Graubünden, Acteur/trice: Freisinnig-Demokratische Partei Graubünden, Chur
fr;658;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: Raiffeisen Schweiz Genossenschaft, Acteur/trice: Komitee Thomas de Courten in den Nationalrat, Rünenberg
fr;659;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: Club économique libéral neuchâtelois, Acteur/trice: Parti libéral-radical neuchâtelois, Neuchâtel
fr;66;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants budgétés;personne morale ou société de personnes;Donateur/trice: Supporter-Club der FDP des Kantons St.Gallen, Acteur/trice: Freisinnig-Demokratische Partei des Kantons St. Gallen, St. Gallen
fr;660;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: Swissetec, Acteur/trice: Parti libéral-radical neuchâtelois, Neuchâtel
